sample_id,property_organic_content
test_00001,22.147891228835338
test_00002,13.22678259752899
test_00003,22.82824216814442
test_00004,24.76867043853619
test_00005,30.557489439386877
test_00006,21.515153349443864
test_00007,36.705875482826784
test_00008,20.04452027572348
test_00009,22.327255624275246
test_00010,37.17622645815557
test_00011,32.01046226221736
test_00012,49.1623140311067
test_00013,13.410438081180388
test_00014,13.530152372776138
test_00015,13.989428822078619
test_00016,60.63437523852316
test_00017,24.592667568956376
test_00018,22.427048002545586
test_00019,21.48574730353593
test_00020,54.124299429403095
test_00021,24.78751314537773
test_00022,18.58633753901224
test_00023,17.231759900796188
test_00024,26.685772221675393
test_00025,14.894083704221964
test_00026,31.874255589752966
test_00027,22.731227856224866
test_00028,19.33348881181334
test_00029,20.38112305490352
test_00030,46.441470380299435
test_00031,109.53228596507779
test_00032,18.774739343864653
test_00033,22.04517926223167
test_00034,36.0450499266393
test_00035,77.17937965251845
test_00036,15.042544134987377
test_00037,39.28940192408898
test_00038,40.41401887104612
test_00039,38.76734557742296
test_00040,32.89151397306072
test_00041,31.072669305659993
test_00042,17.94594817441029
test_00043,39.47067244688357
test_00044,16.875790458296613
test_00045,17.64602631953317
test_00046,19.718141687123595
test_00047,52.5942969355066
test_00048,26.771246909010728
test_00049,35.331398240132486
test_00050,16.464684120181005
test_00051,31.45299602580974
test_00052,16.50342980725403
test_00053,66.55321249942685
test_00054,22.029031954290037
test_00055,24.65480753908944
test_00056,29.99249265982362
test_00057,25.440116877460554
test_00058,16.524060479748343
test_00059,44.4362577854408
test_00060,13.869053948169825
test_00061,17.786536870670776
test_00062,12.445876590670528
test_00063,15.310271485322753
test_00064,15.027652693102917
test_00065,68.45618048476669
test_00066,23.828485413315683
test_00067,33.41439190838904
test_00068,35.885167798950555
test_00069,42.89463428413025
test_00070,46.68299640055642
test_00071,49.78398142806232
test_00072,30.84776672820532
test_00073,19.750381584410853
test_00074,10.011066843992221
test_00075,35.2971621124604
test_00076,40.519566453886746
test_00077,20.95651289856142
test_00078,23.53402724867076
test_00079,82.59812793460696
test_00080,18.371474427875132
test_00081,58.931754702557484
test_00082,70.69782663081205
test_00083,27.84204455381306
test_00084,17.74396661509937
test_00085,46.59620687451475
test_00086,58.97080422007381
test_00087,24.968052663826818
test_00088,47.08922242106317
test_00089,18.59889001981194
test_00090,17.429628123136858
test_00091,39.847156975862944
test_00092,13.620576664738897
test_00093,34.46005705828942
test_00094,15.207258542899401
test_00095,37.954332093026494
test_00096,47.64990674300648
test_00097,23.827878167781968
test_00098,32.31605341215901
test_00099,49.62671456836081
test_00100,15.478242362358921
test_00101,26.10124900508821
test_00102,16.152618582342164
test_00103,31.902258574663428
test_00104,42.92281619771564
test_00105,31.22455646773155
test_00106,20.86846286195502
test_00107,34.9785590435352
test_00108,43.48063343112108
test_00109,47.69282371767899
test_00110,30.079707202930013
test_00111,10.874795604737253
test_00112,20.920605939003767
test_00113,21.63728938315831
test_00114,65.55717215168322
test_00115,49.83187428358838
