id,exam_score
630000,71.92824536995312
630001,70.28109687848674
630002,88.29206366100071
630003,55.91094046008806
630004,46.91141354785911
630005,72.03528483637056
630006,73.43195964023437
630007,58.355740799137926
630008,79.88551506596455
630009,90.39288455788905
630010,59.674830096586305
630011,37.31405280922171
630012,54.276769642887615
630013,61.303902555979114
630014,60.5651372237691
630015,63.60230222269597
630016,74.25917508475702
630017,77.58948184009233
630018,63.56598470668185
630019,75.01014760083811
630020,52.962092552245124
630021,67.48162404000412
630022,45.56514110143923
630023,48.40580475682819
630024,53.272334211321784
630025,54.07090165545743
630026,60.776074746130924
630027,42.62417174071446
630028,80.05789379308895
630029,97.17370648116523
630030,91.44493620417663
630031,55.50705059156628
630032,79.32049087019608
630033,56.085764565070406
630034,44.75209717144405
630035,52.1332017322523
630036,50.764904492383515
630037,67.02518655585061
630038,29.974352471416985
630039,46.07050129378173
630040,36.03583816660014
630041,74.11410993418322
630042,61.98979878617752
630043,64.44436723563173
630044,57.58078811431507
630045,84.10926161014926
630046,85.61726871685492
630047,56.39215656366835
630048,81.84328363187099
630049,97.95022150566246
630050,72.05322322772189
630051,29.386255435915537
630052,83.20887553004405
630053,77.06772747238448
630054,64.2597398256794
630055,39.304840356559296
630056,41.493664936764205
630057,73.93272439479762
630058,39.96790956045622
630059,78.10661944298982
630060,60.978987549142374
630061,30.88210187184688
630062,40.32066334090588
630063,36.21472887247937
630064,66.91887566343343
630065,45.74740381587858
630066,69.71990158319186
630067,46.68445652617783
630068,87.1300263775355
630069,91.65302709867017
630070,77.89049609072399
630071,63.04694657583611
630072,71.0768966667446
630073,75.30521928929255
630074,71.65547403639297
630075,77.95096156161644
630076,95.15357551725597
630077,37.259208491034485
630078,70.82492738839366
630079,49.34712368344118
630080,91.2843714088649
630081,83.76726042777256
630082,34.72433156050214
630083,50.191123974968164
630084,77.60739325695013
630085,93.13035827810667
630086,69.69268347501733
630087,69.91941115959297
630088,74.9136364296658
630089,79.50888481017319
630090,77.87202009672279
630091,75.79619824791324
630092,62.64931825197822
630093,49.50963060813234
630094,48.06786196733006
630095,74.46542409619117
630096,71.34574647345568
630097,65.80225140144881
630098,81.32155501266516
630099,83.35203216229803
630100,75.6764462187991
630101,29.68507664283578
630102,37.35454789637602
630103,59.63844278225307
630104,69.61671442901914
630105,37.657055259161794
630106,47.651564797368025
630107,70.04772830077437
630108,32.33443202214313
630109,95.51894862112621
630110,54.11802343367217
630111,80.08309730113146
630112,87.36512282703173
630113,74.69448167463653
630114,70.24961204778104
630115,54.00569699770261
630116,58.797998006081734
630117,74.65145407882852
630118,58.26225164163662
630119,82.52351524054664
630120,43.38119978575824
630121,57.46951168053409
630122,39.319163346897525
630123,47.37109210689502
630124,79.3741693250665
630125,64.69267195605417
630126,34.84386952939116
630127,53.62323181289004
630128,66.52492387573916
630129,85.14989728479881
630130,45.46952638227586
630131,58.897337094747975
630132,51.64022584642383
630133,75.29206245068063
630134,45.35074937007626
630135,93.89290969293182
630136,56.55631646966812
630137,35.107016635005834
630138,74.80054245162924
630139,54.310877864048955
630140,34.591575064354615
630141,46.33989071627081
630142,38.004599622825765
630143,51.0142910941325
630144,73.82772585089604
630145,72.99706004152799
630146,66.60871025148457
630147,74.28290184696058
630148,43.10859070727078
630149,77.35466467081275
630150,55.34872580183334
630151,69.1454048069901
630152,62.73160339325595
630153,41.303943677543415
630154,61.721740025311455
630155,25.218342468233253
630156,71.44397479956156
630157,49.210843879188936
630158,75.48403686758725
630159,58.600443198184216
630160,62.94069507417438
630161,77.31914470383245
630162,53.726187045548905
630163,65.39348052950011
630164,36.8519752895654
630165,72.6492193022887
630166,64.39767482825361
630167,56.77245004247996
630168,72.29323183542274
630169,87.47439097111067
630170,60.33980069889157
630171,58.00832744830995
630172,47.53702740447947
630173,73.32430122663972
630174,43.64523486199722
630175,92.39148862396662
630176,90.51398999313649
630177,64.63702326773964
630178,80.62009361628103
630179,21.27252323026748
630180,54.47070007092109
630181,46.00024216714732
630182,55.68830686864315
630183,65.21561937999142
630184,36.746448107607414
630185,73.10218122528725
630186,89.81388085059669
630187,54.70817267581935
630188,69.27369012736877
630189,70.30817130931635
630190,41.90719513493471
630191,63.632279895772534
630192,85.28352039185276
630193,92.75321533272437
630194,38.416464020550734
630195,63.030469921873966
630196,72.50656064755609
630197,35.734089192492064
630198,88.8711076166342
630199,89.46621793976594
630200,50.62398343727024
